Destination,Origin,Rejected
France,Congo,456
France,Colombia,54
France,Colombia,27
France,Colombia,
France,Comoros,
France,Comoros,61
France,Comoros,157
France,Cabo Verde,*
France,Cabo Verde,*
France,Costa Rica,*
France,Cuba,*
France,Cuba,56
France,Cuba,19
France,Czech Rep.,0
France,Germany,*
France,Germany,*
France,Djibouti,
France,Djibouti,*
France,Djibouti,32
France,Dominica,
France,Dominica,0
France,Dominica,8
France,Dominican Rep.,374
France,Dominican Rep.,
France,Dominican Rep.,58
France,Algeria,*
France,Algeria,428
France,Algeria,2072
France,Ecuador,*
France,Ecuador,0
France,Egypt,29
France,Egypt,267
France,Egypt,92
France,Eritrea,
France,Eritrea,887
France,Eritrea,282
France,Western Sahara,646
France,Western Sahara,*
France,Western Sahara,87
France,Ethiopia,71
France,Ethiopia,*
France,Ethiopia,161
France,Gabon,
France,Gabon,40
France,Gabon,12
France,United Kingdom,0
France,Georgia,
France,Georgia,966
France,Georgia,800
France,Ghana,
France,Ghana,41
France,Ghana,22
France,Guinea,29
France,Guinea,1183
France,Guinea,1256
France,Gambia,
France,Gambia,94
France,Gambia,162
France,Guinea-Bissau,96
France,Guinea-Bissau,
France,Guinea-Bissau,97
France,Equatorial Guinea,*
France,Equatorial Guinea,13
France,Greece,0
France,Guatemala,*
France,Guatemala,*
France,Guyana,
France,Guyana,30
France,Honduras,*
France,Honduras,0
France,Croatia,*
France,Croatia,0
France,Croatia,
France,Haiti,3913
France,Haiti,1258
France,Haiti,20
France,Hungary,*
France,Indonesia,0
France,India,91
France,India,60
France,India,
France,Iran (Islamic Rep. of),5
France,Iran (Islamic Rep. of),10
France,Iran (Islamic Rep. of),87
France,Iraq,27
France,Iraq,
France,Iraq,378
France,Israel,9
France,Israel,
France,Israel,*
France,Italy,0
France,Jamaica,7
France,Jamaica,6
France,Jordan,9
France,Jordan,0
France,Japan,*
France,Kazakhstan,7
France,Kazakhstan,69
France,Kazakhstan,51
France,Kenya,45
France,Kenya,
France,Kenya,*
France,Kyrgyzstan,
France,Kyrgyzstan,25
France,Kyrgyzstan,23
France,Cambodia,0
France,Cambodia,13
France,Cambodia,17
France,Rep. of Korea,0
France,Kuwait,*
France,Kuwait,*
France,Lao People's Dem. Rep.,
France,Lao People's Dem. Rep.,*
France,Lao People's Dem. Rep.,*
France,Lebanon,
France,Lebanon,41
France,Lebanon,12
France,Liberia,6
France,Liberia,0
France,Liberia,17
France,Libya,
France,Libya,37
France,Libya,105
France,Saint Lucia,5
France,Saint Lucia,0
France,Saint Lucia,
France,Sri Lanka,2010
France,Sri Lanka,
France,Sri Lanka,896
France,Lithuania,*
France,Latvia,0
France,Morocco,
France,Morocco,95
France,Morocco,273
France,Rep. of Moldova,14
France,Rep. of Moldova,21
France,Madagascar,*
France,Madagascar,81
France,Madagascar,75
France,Mexico,*
France,Mexico,5
France,Mexico,*
France,The former Yugoslav Republic of Macedonia,199
France,The former Yugoslav Republic of Macedonia,113
France,The former Yugoslav Republic of Macedonia,
France,Mali,488
France,Mali,
France,Mali,1480
France,Myanmar,11
France,Myanmar,10
France,Myanmar,44
France,Montenegro,50
France,Montenegro,
France,Montenegro,73
France,Mongolia,64
France,Mongolia,
France,Mongolia,102
France,Mozambique,5
France,Mauritania,
France,Mauritania,452
France,Mauritania,832
France,Mauritius,0
France,Mauritius,14
France,Malawi,*
France,Malaysia,0
France,Niger,
France,Niger,29
France,Niger,11
France,Nigeria,1585
France,Nigeria,918
France,Nigeria,35
France,Nicaragua,0
France,Nepal,43
France,Nepal,*
France,Nepal,64
France,Pakistan,907
France,Pakistan,1737
France,Pakistan,
France,Peru,62
France,Peru,
France,Peru,28
France,Philippines,*
France,Philippines,*
France,Poland,0
France,Dem. People's Rep. of Korea,7
France,Dem. People's Rep. of Korea,5
France,Portugal,0
France,Paraguay,0
France,Paraguay,0
France,Palestinian,*
France,Palestinian,19
France,Palestinian,43
France,Qatar,0
France,Romania,*
France,Romania,*
France,Russia,1435
France,Russia,1982
France,Russia,
France,Rwanda,46
France,Rwanda,11
France,Rwanda,34
France,Saudi Arabia,0
France,Sudan,
France,Sudan,1127
France,Sudan,3354
France,Senegal,354
France,Senegal,167
France,Senegal,*
France,Sierra Leone,35
France,Sierra Leone,*
France,Sierra Leone,75
France,El Salvador,0
France,El Salvador,6
France,El Salvador,
France,Somalia,249
France,Somalia,5
France,Somalia,692
France,Serbia and Kosovo (S/RES/1244 (1999)),2890
France,Serbia and Kosovo (S/RES/1244 (1999)),128
France,Serbia and Kosovo (S/RES/1244 (1999)),1817
France,South Sudan,14
France,South Sudan,
France,Sao Tome and Principe,0
France,Sao Tome and Principe,0
France,Suriname,*
France,Suriname,22
France,Slovakia,*
France,Slovakia,0
France,Syrian Arab Rep.,*
France,Syrian Arab Rep.,168
France,Syrian Arab Rep.,107
France,Chad,172
France,Chad,
France,Chad,305
France,Togo,96
France,Togo,113
France,Togo,*
France,Thailand,
France,Thailand,*
France,Thailand,5
France,Tajikistan,6
France,Tajikistan,7
France,Turkmenistan,*
France,Turkmenistan,0
France,Tunisia,198
France,Tunisia,75
France,Tunisia,*
France,Turkey,488
France,Turkey,162
France,Turkey,1034
France,United Rep. of Tanzania,
France,United Rep. of Tanzania,*
France,United Rep. of Tanzania,10
France,Uganda,*
France,Uganda,7
France,Ukraine,847
France,Ukraine,20
France,Ukraine,642
France,United States,*
France,United States,*
France,Uzbekistan,13
France,Uzbekistan,*
France,Uzbekistan,11
France,Saint Vincent and the Grenadines,*
France,Venezuela (Bolivarian Republic of),7
France,Venezuela (Bolivarian Republic of),
France,Venezuela (Bolivarian Republic of),136
France,Viet Nam,22
France,Viet Nam,
France,Viet Nam,14
France,Stateless,293
France,Stateless,
France,Various/Unknown,9351
France,Various/Unknown,
France,Various/Unknown,*
France,Yemen,*
France,Yemen,
France,Yemen,5
France,South Africa,*
France,South Africa,5
France,South Africa,
France,Zambia,0
France,Zimbabwe,13
France,Zimbabwe,*
Germany,Afghanistan,702
Germany,Afghanistan,83
Germany,Afghanistan,24734
Germany,Angola,*
Germany,Angola,41
Germany,Angola,*
Germany,Albania,339
Germany,Albania,29681
Germany,Albania,5350
Germany,Andorra,
Germany,United Arab Emirates,
Germany,United Arab Emirates,0
Germany,Argentina,
Germany,Argentina,*
Germany,Armenia,67
Germany,Armenia,1717
Germany,Armenia,135
Germany,Australia,
Germany,Australia,
Germany,Austria,0
Germany,Azerbaijan,45
Germany,Azerbaijan,1681
Germany,Azerbaijan,135
Germany,Burundi,
Germany,Burundi,*
Germany,Burundi,0
Germany,Belgium,*
Germany,Belgium,
Germany,Belgium,0
Germany,Benin,30
Germany,Benin,*
Germany,Benin,166
Germany,Burkina Faso,138
Germany,Burkina Faso,33
Germany,Burkina Faso,*
Germany,Bangladesh,520
Germany,Bangladesh,5
Germany,Bangladesh,162
Germany,Bulgaria,16
Germany,Bulgaria,0
Germany,Bulgaria,
Germany,Bahrain,*
Germany,Bahrain,
Germany,Bahrain,0
Germany,Bahamas,0
Germany,Bosnia and Herzegovina,3659
Germany,Bosnia and Herzegovina,576
Germany,Bosnia and Herzegovina,361
Germany,Belarus,6
Germany,Belarus,59
Germany,Belarus,*
Germany,Belize,*
Germany,Belize,0
Germany,Bolivia (Plurinational State of),
Germany,Bolivia (Plurinational State of),0
Germany,Brazil,0
Germany,Brazil,*
Germany,Bhutan,*
Germany,Bhutan,0
Germany,Bhutan,
Germany,Botswana,
Germany,Botswana,0
Germany,Botswana,
Germany,Central African Rep.,0
Germany,Central African Rep.,
Germany,Central African Rep.,*
Germany,Canada,0
Germany,Canada,
Germany,Switzerland,
Germany,Chile,
Germany,Chile,
Germany,Chile,0
Germany,China,8
Germany,China,386
Germany,China,15
Germany,Côte d'Ivoire,148
Germany,Côte d'Ivoire,6
Germany,Côte d'Ivoire,37
Germany,Cameroon,51
Germany,Cameroon,263
Germany,Cameroon,*
Germany,Dem. Rep. of the Congo,45
Germany,Dem. Rep. of the Congo,94
Germany,Dem. Rep. of the Congo,*
Germany,Congo,
Germany,Congo,*
Germany,Congo,13
Germany,Colombia,*
Germany,Colombia,
Germany,Colombia,22
Germany,Comoros,
Germany,Cabo Verde,
Germany,Cuba,
Germany,Cuba,15
Germany,Cuba,*
Germany,Cyprus,*
Germany,Czech Rep.,
Germany,Czech Rep.,
Germany,Czech Rep.,0
Germany,Djibouti,*
Germany,Djibouti,*
Germany,Djibouti,
Germany,Dominican Rep.,
Germany,Dominican Rep.,
Germany,Dominican Rep.,
Germany,Algeria,293
Germany,Algeria,75
Germany,Algeria,3154
Germany,Ecuador,*
Germany,Ecuador,0
Germany,Egypt,88
Germany,Egypt,1755
Germany,Egypt,19
Germany,Eritrea,135
Germany,Eritrea,
Germany,Eritrea,72
Germany,Spain,0
Germany,Spain,5
Germany,Spain,
Germany,Estonia,0
Germany,Estonia,*
Germany,Ethiopia,13
Germany,Ethiopia,122
Germany,Ethiopia,752
Germany,Finland,0
Germany,France,*
Germany,France,0
Germany,Gabon,
Germany,Gabon,0
Germany,Gabon,6
Germany,United Kingdom,0
Germany,United Kingdom,*
Germany,Georgia,101
Germany,Georgia,2441
Germany,Georgia,395
Germany,Ghana,8
Germany,Ghana,101
Germany,Ghana,1199
Germany,Guinea,516
Germany,Guinea,9
Germany,Guinea,30
Germany,Gambia,50
Germany,Gambia,544
Germany,Gambia,*
Germany,Guinea-Bissau,175
Germany,Guinea-Bissau,40
Germany,Guinea-Bissau,*
Germany,Equatorial Guinea,0
Germany,Equatorial Guinea,
Germany,Equatorial Guinea,*
Germany,Greece,
Germany,Greece,*
Germany,Greece,0
Germany,Grenada,0
Germany,Grenada,*
Germany,Guatemala,
Germany,Guatemala,0
Germany,"China, Hong Kong SAR",0
Germany,Honduras,
Germany,Honduras,0
Germany,Honduras,*
Germany,Croatia,
Germany,Croatia,0
Germany,Croatia,6
Germany,Haiti,*
Germany,Haiti,
Germany,Haiti,*
Germany,Hungary,*
Germany,Hungary,
Germany,Hungary,0
Germany,Indonesia,*
Germany,Indonesia,
Germany,Indonesia,0
Germany,India,9
Germany,India,104
Germany,India,3636
Germany,Iran (Islamic Rep. of),106
Germany,Iran (Islamic Rep. of),186
Germany,Iran (Islamic Rep. of),3700
Germany,Iraq,14074
Germany,Iraq,413
Germany,Iraq,174
Germany,Israel,*
Germany,Israel,
Germany,Israel,14
Germany,Italy,11
Germany,Italy,*
Germany,Jamaica,*
Germany,Jamaica,
Germany,Jamaica,*
Germany,Jordan,8
Germany,Jordan,35
Germany,Jordan,5
Germany,Japan,
Germany,Japan,
Germany,Japan,*
Germany,Kazakhstan,73
Germany,Kazakhstan,
Germany,Kazakhstan,0
Germany,Kenya,*
Germany,Kenya,54
Germany,Kenya,111
Germany,Kyrgyzstan,32
Germany,Kyrgyzstan,11
Germany,Kyrgyzstan,*
Germany,Cambodia,*
